cases,level,weight,response
1,Intervention,48,policy_influence
2,Intervention,9,Technology
3,Intervention,66,Capacity
4,Intervention,1,Always
5,Intervention,11,Always
6,Intervention,1,Always
7,Intervention,5,Always
8,Intervention,4,Always
9,Intervention,24,Missing
10,Intervention,4,Missing
11,Intervention,29,Missing
12,Intervention,1,Missing
13,Intervention,1,Missing
14,Intervention,9,Missing
15,Intervention,10,Missing
16,Intervention,14,Missing
17,Intervention,3,Never
18,Intervention,7,Never
19,Intervention,42,Never
20,Intervention,20,Never
21,Intervention,2,Never
22,Intervention,36,Never
23,Intervention,7,Never
24,Intervention,2,Never
25,Intervention,4,Never
26,Intervention,9,Never
27,Intervention,48,Sometimes
28,Intervention,11,Sometimes
29,Intervention,99,Sometimes
30,Intervention,3,Sometimes
31,Intervention,41,Sometimes
32,Intervention,168,Sometimes
33,Intervention,2,Sometimes
34,Intervention,23,Sometimes
35,Intervention,22,Sometimes
36,Intervention,38,Sometimes
37,Intervention,1,Sometimes
38,Intervention,15,Sometimes
39,Intervention,113,Sometimes
1,Scale,48,Always
2,Scale,9,Always
3,Scale,66,Missing
4,Scale,1,Missing
5,Scale,11,Missing
6,Scale,1,Never
7,Scale,5,Sometimes
8,Scale,4,Sometimes
9,Scale,24,Always
10,Scale,4,Always
11,Scale,29,Missing
12,Scale,1,Missing
13,Scale,1,Missing
14,Scale,9,Missing
15,Scale,10,Sometimes
16,Scale,14,Sometimes
17,Scale,3,Always
18,Scale,7,Missing
19,Scale,42,Missing
20,Scale,20,Missing
21,Scale,2,Never
22,Scale,36,Never
23,Scale,7,Never
24,Scale,2,Sometimes
25,Scale,4,Sometimes
26,Scale,9,Sometimes
27,Scale,48,Always
28,Scale,11,Always
29,Scale,99,Missing
30,Scale,3,Missing
31,Scale,41,Missing
32,Scale,168,Missing
33,Scale,2,Never
34,Scale,23,Never
35,Scale,22,Never
36,Scale,38,Sometimes
37,Scale,1,Sometimes
38,Scale,15,Sometimes
39,Scale,113,Sometimes
1,Outcome,48,Always
2,Outcome,9,Sometimes
3,Outcome,66,Always
4,Outcome,1,Never
5,Outcome,11,Sometimes
6,Outcome,1,Always
7,Outcome,5,Always
8,Outcome,4,Sometimes
9,Outcome,24,Always
10,Outcome,4,Sometimes
11,Outcome,29,Always
12,Outcome,1,Missing
13,Outcome,1,Never
14,Outcome,9,Sometimes
15,Outcome,10,Always
16,Outcome,14,Sometimes
17,Outcome,3,Always
18,Outcome,7,Always
19,Outcome,42,Never
20,Outcome,20,Sometimes
21,Outcome,2,Missing
22,Outcome,36,Never
23,Outcome,7,Sometimes
24,Outcome,2,Always
25,Outcome,4,Never
26,Outcome,9,Sometimes
27,Outcome,48,Always
28,Outcome,11,Sometimes
29,Outcome,99,Always
30,Outcome,3,Missing
31,Outcome,41,Never
32,Outcome,168,Sometimes
33,Outcome,2,Always
34,Outcome,23,Never
35,Outcome,22,Sometimes
36,Outcome,38,Always
37,Outcome,1,Missing
38,Outcome,15,Never
39,Outcome,113,Sometimes